,low,medium,high,z
92,6.546472310343943e-05,0.0,0.0,26.006999999999888
93,6.681108904620092e-05,0.0,0.0,26.005999999999887
94,6.81700238797378e-05,0.0,0.0,26.004999999999885
95,6.954150139808907e-05,0.0,0.0,26.003999999999884
96,7.092549562828093e-05,0.0,0.0,26.002999999999883
97,7.23219808267811e-05,0.0,0.0,26.00199999999988
98,7.373093147600152e-05,0.0,0.0,26.00099999999988
99,7.515232228089835e-05,0.0,0.0,25.99999999999988
100,7.658612816569682e-05,0.0,0.0,25.998999999999878
101,7.80323242705952e-05,0.0,0.0,25.997999999999877
102,7.94908859486354e-05,0.0,0.0,25.996999999999876
103,8.09617887626013e-05,0.0,0.0,25.995999999999874
104,8.24450084819725e-05,0.0,0.0,25.994999999999873
105,8.394052107998928e-05,0.0,0.0,25.993999999999872
106,8.544830273075205e-05,0.0,0.0,25.99299999999987
107,8.696832980636948e-05,0.0,0.0,25.99199999999987
108,8.850057887422463e-05,0.0,0.0,25.990999999999868
109,9.004502669424097e-05,0.0,0.0,25.989999999999867
110,9.160165021620398e-05,0.0,0.0,25.988999999999866
111,9.317042657724234e-05,0.0,0.0,25.987999999999865
112,9.475133309918421e-05,0.0,0.0,25.986999999999863
113,9.634434728614943e-05,0.0,0.0,25.985999999999862
114,9.794944682207929e-05,0.0,0.0,25.98499999999986
115,9.956660956833563e-05,0.0,0.0,25.98399999999986
116,0.0001011958135613833,0.0,0.0,25.98299999999986
117,0.00010283703701047253,0.0,0.0,25.981999999999857
118,0.00010449025829543934,0.0,0.0,25.980999999999856
119,0.00010615545596443648,0.0,0.0,25.979999999999855
120,0.0001078326087318171,0.0,0.0,25.978999999999854
121,0.00010952169547603224,0.0,0.0,25.977999999999852
122,0.00011122269523750061,0.0,0.0,25.97699999999985
123,0.00011293558721662406,0.0,0.0,25.97599999999985
124,0.00011466035077176834,0.0,0.0,25.97499999999985
125,0.00011639696541731331,0.0,0.0,25.973999999999847
126,0.00011814541082171698,0.0,0.0,25.972999999999846
127,0.0001199056668056489,0.0,0.0,25.971999999999845
128,0.00012167771334012367,0.0,0.0,25.970999999999844
129,0.0001234615305447037,0.0,0.0,25.969999999999843
130,0.00012525709868569518,0.0,0.0,25.96899999999984
131,0.0001270643981744063,0.0,0.0,25.96799999999984
132,0.0001288834095654473,0.0,0.0,25.96699999999984
133,0.00013071411355500967,0.0,0.0,25.965999999999838
134,0.00013255649097924233,0.0,0.0,25.964999999999836
135,0.00013441052281258636,0.0,0.0,25.963999999999835
136,0.00013627619016622072,0.0,0.0,25.962999999999834
137,0.0001381534742864593,0.0,0.0,25.961999999999833
138,0.0001400423565532105,0.0,0.0,25.96099999999983
139,0.00014194281847848544,0.0,0.0,25.95999999999983
140,0.00014385484170486434,0.0,0.0,25.95899999999983
141,0.00014577840800409497,0.0,0.0,25.957999999999828
142,0.00014771349927557298,0.0,0.0,25.956999999999827
143,0.0001496600975450027,0.0,0.0,25.955999999999825
144,0.00015161818496294693,0.0,0.0,25.954999999999824
145,0.00015358774380349466,0.0,0.0,25.953999999999823
146,0.00015556875646290103,0.0,0.0,25.95299999999982
147,0.00015756120545828284,0.0,0.0,25.95199999999982
148,0.0001595650734262516,0.0,0.0,25.95099999999982
149,0.0001615803431217408,0.0,0.0,25.949999999999818
150,0.0001636069974166529,0.0,0.0,25.948999999999817
151,0.00016564501929866582,0.0,0.0,25.947999999999816
152,0.0001676943918699908,0.0,0.0,25.946999999999814
153,0.00016975509834618596,0.0,0.0,25.945999999999813
154,0.00017182712205498357,0.0,0.0,25.944999999999812
155,0.00017391044643511044,0.0,0.0,25.94399999999981
156,0.00017600505503513608,0.0,0.0,25.94299999999981
157,0.00017811093151238327,0.0,0.0,25.94199999999981
158,0.00018022805963177624,0.0,0.0,25.940999999999807
159,0.00018235642326477897,0.0,0.0,25.939999999999806
160,0.00018449600638830582,0.0,0.0,25.938999999999805
161,0.00018664679308366683,0.0,0.0,25.937999999999803
162,0.00018880876753552683,0.0,0.0,25.936999999999802
163,0.00019098191403086467,0.0,0.0,25.9359999999998
164,0.0001931662169579948,0.0,0.0,25.9349999999998
165,0.00019536166080552642,0.0,0.0,25.9339999999998
166,0.0001975682301614129,0.0,0.0,25.932999999999797
167,0.0001997859097119803,0.0,0.0,25.931999999999796
168,0.0002020146842409698,0.0,0.0,25.930999999999795
169,0.00020425453862859405,0.0,0.0,25.929999999999794
170,0.0002065054578506212,0.0,0.0,25.928999999999792
171,0.00020876742697745893,0.0,0.0,25.92799999999979
172,0.00021104043117324556,0.0,0.0,25.92699999999979
173,0.0002133244556949826,0.0,0.0,25.92599999999979
174,0.0002156194858916466,0.0,0.0,25.924999999999788
175,0.00021792550720334952,0.0,0.0,25.923999999999786
176,0.0002202425051604437,0.0,0.0,25.922999999999785
177,0.00022257046538273761,0.0,0.0,25.921999999999784
178,0.00022490937357866336,0.0,0.0,25.920999999999783
179,0.00022725921554440226,0.0,0.0,25.91999999999978
180,0.0002296199771631563,0.0,0.0,25.91899999999978
181,0.00023199164440433628,0.0,0.0,25.91799999999978
182,0.00023437420332273612,0.0,0.0,25.916999999999778
183,0.00023676764005785278,0.0,0.0,25.915999999999777
184,0.00023917194083301896,0.0,0.0,25.914999999999775
185,0.00024158709195473693,0.0,0.0,25.913999999999774
186,0.0002440130798119014,0.0,0.0,25.912999999999773
187,0.00024644989087507785,0.0,0.0,25.91199999999977
188,0.00024889751169578783,0.0,0.0,25.91099999999977
189,0.0002513559289058012,0.0,0.0,25.90999999999977
190,0.0002538251292163937,0.0,0.0,25.908999999999768
191,0.00025630509941772933,0.0,0.0,25.907999999999767
192,0.0002587958263781248,0.0,0.0,25.906999999999766
193,0.00026129729704336274,0.0,0.0,25.905999999999764
194,0.00026380949843609475,0.0,0.0,25.904999999999763
195,0.0002663324176551199,0.0,0.0,25.903999999999762
196,0.00026886604187476015,0.0,0.0,25.90299999999976
197,0.0002714103583442151,0.0,0.0,25.90199999999976
198,0.0002739653543869444,0.0,0.0,25.900999999999758
199,0.0002765310174000224,0.0,0.0,25.899999999999757
200,0.00027910733485355527,0.0,0.0,25.898999999999756
